NAME OF BUSINESS,INDUSTRY,NATURE OF SALES,LOCATION,OWNERSHIP,NUMBER OF PEOPLE EMPLOYED,HOW EXPEREINCED ARE YOUR EMPLOYEES,YEARS IN ENTREPRENEURSHIP,LEVEL OF FORMAL EDUCATION OF BUSINESS DIRECTOR,Product Differentiation/ Unique selling point,How do you get people to know about your business/Products,METHOD OF FINANCE,HOW MUCH REVENUE DOES YOUR BUSINESS MAKE IN A YEAR(UGX),Average Revenue(UGX),Total Debt exposure (if any),Average debt(UGX),Profitability of business (operating profit/Revenue),Average Profitability(UGX),Inventory Management,How are you able to get the product/service you sell,Team experience(years),Human resource policies,Registration & Licenses,Risk Management Scheme,What stage of Growth is your business,Average weekly customers,what is your supply chain like,Nature of skill required for employees, Employee monthly pay(UGX),Average Monthly pay (UGX),Annual loss range,Average Annual loss(UGX)
Ruzenet finance,Financial Services,Retail,Mukono,Sole owner,3,Not so experienced,3,Bachelors Degree,"Our product can be clearly differentiated from other products on the market through our packaging, and diverse product offering product quality","We know and actively use ideal distribution channels to reach customers and boost sales. Additionally, we invest in developing new channels to reach additional customer segments",private capital,5M and above,5000000,0-150k,150000,500k-1M,750000,We have an inventory management system/ ways to track changes in inventory and we use it diligently. The system is implemented by a well skilled collaborative team and we evaluate it often to identify ways to improve it,We have a fair relationship with some of our suppliers and sometimes get a steady supply of high quality supplies within the time we need them,3,We do not have a human resource policy,We have all the necessary licenses and registrations as required by the law.,"We have a risk management policy and implement all its elements in the day to day operations of the business. In addition, we regularly review and revise the policy to adapt to changing employee needs",3,6,We are the main or among the main distributors of our product,Medium skill and competence required,50k-100k,75000,100k-250k,175000
BENIVEN SUPERMARKET,Supermarket,Wholesale,KIRA,Sole owner,6,Not so experienced,6,Bachelors Degree,Our product does not differ from other products on the market and other suppliers can provide the same product,We do not have a clear understanding of the ideal distribution channels for our products,savings,5M and above,5000000,2m-5m,3500000,500k-1M,750000,We have an inventory management system/ ways to track changes in inventory and we use it diligently. The system is implemented by a collaborative team,We have a good relationship with all of our suppliers and sometimes get a steady supply of high quality supplies within the time we need them,2,We have a human resource policy and implement all its elements in the day to day operations of the business,We have all the necessary licenses and registrations as required by the law.,We have a risk management policy but struggle to implement it in the day to day operations of the business,2,12,We get our product from both local and external distributors,Little skill and competence required,500K-1M,750000,250k-500k,375000
Ruzenet electronics,Electonics,Retail,"Wakiso, Kira mamerito road",Sole owner,1,Not so experienced,3,Bachelors Degree,Our product does not differ from other products on the market and other suppliers can provide the same product,All the above,savings,4M-5M,4500000,500k-1M,750000,250k-500k,375000,We have an inventory management system/ ways to track changes in inventory but we don't use it,We get our product from both local and external distributors,3,We do not have a human resource policy,We have all the necessary licenses and registrations as required by the law.,We do not currently have a risk management policy in place,3,17,We get our product from both local and external distributors,Medium skill and competence required,150k-250k,200000,500k-800k,650000
Vossi Wines & Spirits,Wines and spirits,Retail,Kulambiro,Partnership (General or limited),1,part time,2,Masters Degree or Higher,Our product does not differ from other products on the market and other suppliers can provide the same product,electronic advertising,private capital,2M-3M,2500000,0-150k,100000,500k-1M,750000,We have an inventory management system/ ways to track changes in inventory but we use it only in a few cases,We get our product from local distributors,2,We do not have a human resource policy,We have all the necessary licenses and registrations as required by the law.,We do not currently have a risk management policy in place,2,30,We get our product from local distributors,Little skill and competence required,150k-250k,200000,100k-250k,175000
Twinex Gadgets,Electronics,Wholesale,Kampala,Family owned,1,part time,0,O/A Level Certificate,Our product does not differ from other products on the market and other suppliers can provide the same product,All the above,private capital,5M and above,5000000,1M-2M,3500000,500k-1M,750000,We do not currently have an inventory management system/ do not track changes in our inventory,Import,4,We do not have a human resource policy,We have all the necessary licenses and registrations as required by the law.,We do not currently have a risk management policy in place,6,170,We get our product from both local and external distributors,Medium skill and competence required,250k-350k,300000,250k-500k,375000
Maxon Capital,Financial Services,Retail,Kampala,Sole owner,3,Experienced,2,Bachelors Degree,Our product can be clearly differentiated from other products on the market through our packaging,Agents/intermediary,private capital,50M-100M,75000000,1M-2M,3500000,20M-50M,35000000,We do not currently have an inventory management system,We get our product from both local and external distributors,3,We do not have a human resource policy.,We are not fully registered under the laws of Uganda,We do not currently have a risk management policy in place,2,11,We are the main or among the main distributors of our product,Medium skill and competence required,500K-1M,750000,5M-10M,7500000
INNOVATION AFRICA LIMITED,Construction,other,"Plot 758, Cape road, Munyonyo",Partnership (General or limited),41,Experienced,6,Masters Degree or Higher,"Our product is rare and is preferred to its competitors on the market. Our product can be clearly differentiated from other products on the market through our innovations, attractive packaging, and superior quality",electronic advertising,private capital,100M above,100000000,100M Above,100000000,100M Above,100000000,We have an inventory management system/ ways to track changes in inventory but we use it only in a few cases,We get our product from both local and external distributors,5,We have a human resource policy but struggle to implement it in the day to day business activicties,We have all the necessary licenses and registrations as required by the law.,We do not currently have a risk management policy in place,8,6,We get our product from both local and external distributors,Medium skill and competence required,500K-1M,750000,20M-50M,35000000
Bussi coffee and Bogoya farm,Agriculture,Wholesale,Bussi Island,Family owned,10,Experienced,5,Bachelors Degree,Our product does not differ from other products on the market and other suppliers can provide the same product,Any other,"private capital, savings",500K-1M,750000,20M-50M,35000000,500k-1M,750000,We do not currently have an inventory management system,We locally source our own raw materials to make the product,5,We do not have a human resource policy.,We are not fully registered under the laws of Uganda,We do not currently have a risk management policy in place,4,7,We get our product from local distributors,Little skill and competence required,1M-2M,1500000,5M-10M,7500000
Delique industrial coating Ltd,Manufacturing,Retail,Kasangati,Partnership (General or limited),18,Experienced,6,Bachelors Degree,Our product can be clearly differentiated from other products on the market through our packaging,Any other,Banks/financial institution,100M above,100000000,150k-250k,200000,250k-500k,375000,We have an inventory management system/ ways to track changes in inventory and we use it diligently. The system is implemented by a collaborative teamchanges in our inventory,We locally source our own raw materials to make the product,5,We have a human resource policy and implement some elements of it in the day to day operations of the businessday operations of the business,We have all the necessary licenses and registrations as required by the law.,We do not currently have a risk management policy in place,8,35,We are the main or among the main distributors of our product,Little skill and competence required,2M-5M,3500000,5M-10M,7500000
BUSITEMA FILLING STATION,Retail,Retail,"Busitema, Busia",Sole owner,4,part time,6,Bachelors Degree,Our product does not differ from other products on the market and other suppliers can provide the same product,Poster/paper adverts/newspaper/billboard,private capital,100M above,100000000,0-150k,40000,50M-100M,75000000,We have an inventory management system/ ways to track changes in inventory and we use it diligently. The system is implemented by a collaborative teamchanges in our inventory,We get our product from local distributors,2,We do not have a human resource policy.,We have all the necessary licenses and registrations as required by the law.,We have a risk management policy and implement all its elements in the day to day operations of the business,3,250,We get our product from local distributors,Little skill and competence required,50K-500K,275000,5M-10M,7500000
